"block_id","program","k","N","q","prev","draws","seed","status"
44,"prev_strata",3,15,0.97,0.5,50000,20300044,"claimed"
45,"prev_strata",3,15,0.97,0.8,50000,20300045,"claimed"
46,"prev_strata",3,15,0.97,0.95,50000,20300046,"claimed"
47,"prev_strata",3,20,0.65,0.05,50000,20300047,"claimed"
48,"prev_strata",3,20,0.65,0.2,50000,20300048,"claimed"
49,"prev_strata",3,20,0.65,0.5,50000,20300049,"claimed"
50,"prev_strata",3,20,0.65,0.8,50000,20300050,"claimed"
51,"prev_strata",3,20,0.65,0.95,50000,20300051,"claimed"
52,"prev_strata",3,20,0.75,0.05,50000,20300052,"claimed"
53,"prev_strata",3,20,0.75,0.2,50000,20300053,"claimed"
54,"prev_strata",3,20,0.75,0.5,50000,20300054,"claimed"
55,"prev_strata",3,20,0.75,0.8,50000,20300055,"claimed"
56,"prev_strata",3,20,0.75,0.95,50000,20300056,"claimed"
57,"prev_strata",3,20,0.85,0.05,50000,20300057,"claimed"
58,"prev_strata",3,20,0.85,0.2,50000,20300058,"claimed"
59,"prev_strata",3,20,0.85,0.5,50000,20300059,"claimed"
60,"prev_strata",3,20,0.85,0.8,50000,20300060,"claimed"
61,"prev_strata",3,20,0.85,0.95,50000,20300061,"claimed"
62,"prev_strata",3,20,0.92,0.05,50000,20300062,"claimed"
63,"prev_strata",3,20,0.92,0.2,50000,20300063,"claimed"
64,"prev_strata",3,20,0.92,0.5,50000,20300064,"claimed"
65,"prev_strata",3,20,0.92,0.8,50000,20300065,"claimed"
66,"prev_strata",3,20,0.92,0.95,50000,20300066,"claimed"
67,"prev_strata",3,20,0.97,0.05,50000,20300067,"claimed"
68,"prev_strata",3,20,0.97,0.2,50000,20300068,"claimed"
69,"prev_strata",3,20,0.97,0.5,50000,20300069,"claimed"
70,"prev_strata",3,20,0.97,0.8,50000,20300070,"claimed"
71,"prev_strata",3,20,0.97,0.95,50000,20300071,"claimed"
72,"prev_strata",3,30,0.65,0.05,50000,20300072,"claimed"
73,"prev_strata",3,30,0.65,0.2,50000,20300073,"claimed"
74,"prev_strata",3,30,0.65,0.5,50000,20300074,"claimed"
75,"prev_strata",3,30,0.65,0.8,50000,20300075,"claimed"
76,"prev_strata",3,30,0.65,0.95,50000,20300076,"claimed"
77,"prev_strata",3,30,0.75,0.05,50000,20300077,"claimed"
78,"prev_strata",3,30,0.75,0.2,50000,20300078,"claimed"
79,"prev_strata",3,30,0.75,0.5,50000,20300079,"claimed"
80,"prev_strata",3,30,0.75,0.8,50000,20300080,"claimed"
81,"prev_strata",3,30,0.75,0.95,50000,20300081,"claimed"
82,"prev_strata",3,30,0.85,0.05,50000,20300082,"claimed"
83,"prev_strata",3,30,0.85,0.2,50000,20300083,"claimed"
84,"prev_strata",3,30,0.85,0.5,50000,20300084,"claimed"
85,"prev_strata",3,30,0.85,0.8,50000,20300085,"claimed"
86,"prev_strata",3,30,0.85,0.95,50000,20300086,"claimed"
87,"prev_strata",3,30,0.92,0.05,50000,20300087,"claimed"
88,"prev_strata",3,30,0.92,0.2,50000,20300088,"claimed"
89,"prev_strata",3,30,0.92,0.5,50000,20300089,"claimed"
90,"prev_strata",3,30,0.92,0.8,50000,20300090,"claimed"
91,"prev_strata",3,30,0.92,0.95,50000,20300091,"claimed"
92,"prev_strata",3,30,0.97,0.05,50000,20300092,"claimed"
93,"prev_strata",3,30,0.97,0.2,50000,20300093,"claimed"
94,"prev_strata",3,30,0.97,0.5,50000,20300094,"claimed"
95,"prev_strata",3,30,0.97,0.8,50000,20300095,"claimed"
96,"prev_strata",3,30,0.97,0.95,50000,20300096,"claimed"
97,"prev_strata",3,50,0.65,0.05,50000,20300097,"claimed"
98,"prev_strata",3,50,0.65,0.2,50000,20300098,"claimed"
99,"prev_strata",3,50,0.65,0.5,50000,20300099,"claimed"
100,"prev_strata",3,50,0.65,0.8,50000,20300100,"claimed"
101,"prev_strata",3,50,0.65,0.95,50000,20300101,"claimed"
102,"prev_strata",3,50,0.75,0.05,50000,20300102,"claimed"
103,"prev_strata",3,50,0.75,0.2,50000,20300103,"claimed"
104,"prev_strata",3,50,0.75,0.5,50000,20300104,"claimed"
105,"prev_strata",3,50,0.75,0.8,50000,20300105,"claimed"
106,"prev_strata",3,50,0.75,0.95,50000,20300106,"claimed"
107,"prev_strata",3,50,0.85,0.05,50000,20300107,"claimed"
108,"prev_strata",3,50,0.85,0.2,50000,20300108,"claimed"
109,"prev_strata",3,50,0.85,0.5,50000,20300109,"claimed"
110,"prev_strata",3,50,0.85,0.8,50000,20300110,"claimed"
111,"prev_strata",3,50,0.85,0.95,50000,20300111,"claimed"
112,"prev_strata",3,50,0.92,0.05,50000,20300112,"claimed"
113,"prev_strata",3,50,0.92,0.2,50000,20300113,"claimed"
114,"prev_strata",3,50,0.92,0.5,50000,20300114,"claimed"
115,"prev_strata",3,50,0.92,0.8,50000,20300115,"claimed"
116,"prev_strata",3,50,0.92,0.95,50000,20300116,"claimed"
117,"prev_strata",3,50,0.97,0.05,50000,20300117,"claimed"
118,"prev_strata",3,50,0.97,0.2,50000,20300118,"claimed"
119,"prev_strata",3,50,0.97,0.5,50000,20300119,"claimed"
120,"prev_strata",3,50,0.97,0.8,50000,20300120,"claimed"
121,"prev_strata",3,50,0.97,0.95,50000,20300121,"claimed"
122,"prev_strata",3,75,0.65,0.05,50000,20300122,"claimed"
123,"prev_strata",3,75,0.65,0.2,50000,20300123,"claimed"
124,"prev_strata",3,75,0.65,0.5,50000,20300124,"claimed"
125,"prev_strata",3,75,0.65,0.8,50000,20300125,"claimed"
126,"prev_strata",3,75,0.65,0.95,50000,20300126,"claimed"
127,"prev_strata",3,75,0.75,0.05,50000,20300127,"claimed"
128,"prev_strata",3,75,0.75,0.2,50000,20300128,"claimed"
129,"prev_strata",3,75,0.75,0.5,50000,20300129,"claimed"
130,"prev_strata",3,75,0.75,0.8,50000,20300130,"claimed"
131,"prev_strata",3,75,0.75,0.95,50000,20300131,"claimed"
132,"prev_strata",3,75,0.85,0.05,50000,20300132,"claimed"
133,"prev_strata",3,75,0.85,0.2,50000,20300133,"claimed"
134,"prev_strata",3,75,0.85,0.5,50000,20300134,"claimed"
135,"prev_strata",3,75,0.85,0.8,50000,20300135,"claimed"
136,"prev_strata",3,75,0.85,0.95,50000,20300136,"claimed"
137,"prev_strata",3,75,0.92,0.05,50000,20300137,"claimed"
138,"prev_strata",3,75,0.92,0.2,50000,20300138,"claimed"
139,"prev_strata",3,75,0.92,0.5,50000,20300139,"claimed"
140,"prev_strata",3,75,0.92,0.8,50000,20300140,"claimed"
141,"prev_strata",3,75,0.92,0.95,50000,20300141,"claimed"
142,"prev_strata",3,75,0.97,0.05,50000,20300142,"claimed"
143,"prev_strata",3,75,0.97,0.2,50000,20300143,"claimed"
144,"prev_strata",3,75,0.97,0.5,50000,20300144,"claimed"
145,"prev_strata",3,75,0.97,0.8,50000,20300145,"claimed"
146,"prev_strata",3,75,0.97,0.95,50000,20300146,"claimed"
147,"prev_strata",3,100,0.65,0.05,50000,20300147,"claimed"
148,"prev_strata",3,100,0.65,0.2,50000,20300148,"claimed"
149,"prev_strata",3,100,0.65,0.5,50000,20300149,"claimed"
150,"prev_strata",3,100,0.65,0.8,50000,20300150,"claimed"
151,"prev_strata",3,100,0.65,0.95,50000,20300151,"claimed"
152,"prev_strata",3,100,0.75,0.05,50000,20300152,"claimed"
153,"prev_strata",3,100,0.75,0.2,50000,20300153,"claimed"
154,"prev_strata",3,100,0.75,0.5,50000,20300154,"claimed"
155,"prev_strata",3,100,0.75,0.8,50000,20300155,"claimed"
156,"prev_strata",3,100,0.75,0.95,50000,20300156,"claimed"
157,"prev_strata",3,100,0.85,0.05,50000,20300157,"claimed"
158,"prev_strata",3,100,0.85,0.2,50000,20300158,"claimed"
159,"prev_strata",3,100,0.85,0.5,50000,20300159,"claimed"
160,"prev_strata",3,100,0.85,0.8,50000,20300160,"claimed"
161,"prev_strata",3,100,0.85,0.95,50000,20300161,"claimed"
162,"prev_strata",3,100,0.92,0.05,50000,20300162,"claimed"
163,"prev_strata",3,100,0.92,0.2,50000,20300163,"claimed"
164,"prev_strata",3,100,0.92,0.5,50000,20300164,"claimed"
165,"prev_strata",3,100,0.92,0.8,50000,20300165,"claimed"
166,"prev_strata",3,100,0.92,0.95,50000,20300166,"claimed"
167,"prev_strata",3,100,0.97,0.05,50000,20300167,"claimed"
168,"prev_strata",3,100,0.97,0.2,50000,20300168,"claimed"
169,"prev_strata",3,100,0.97,0.5,50000,20300169,"claimed"
170,"prev_strata",3,100,0.97,0.8,50000,20300170,"claimed"
171,"prev_strata",3,100,0.97,0.95,50000,20300171,"claimed"
172,"prev_strata",3,150,0.65,0.05,50000,20300172,"claimed"
173,"prev_strata",3,150,0.65,0.2,50000,20300173,"claimed"
174,"prev_strata",3,150,0.65,0.5,50000,20300174,"claimed"
175,"prev_strata",3,150,0.65,0.8,50000,20300175,"claimed"
176,"prev_strata",3,150,0.65,0.95,50000,20300176,"claimed"
177,"prev_strata",3,150,0.75,0.05,50000,20300177,"claimed"
178,"prev_strata",3,150,0.75,0.2,50000,20300178,"claimed"
179,"prev_strata",3,150,0.75,0.5,50000,20300179,"claimed"
180,"prev_strata",3,150,0.75,0.8,50000,20300180,"claimed"
181,"prev_strata",3,150,0.75,0.95,50000,20300181,"claimed"
182,"prev_strata",3,150,0.85,0.05,50000,20300182,"claimed"
183,"prev_strata",3,150,0.85,0.2,50000,20300183,"claimed"
184,"prev_strata",3,150,0.85,0.5,50000,20300184,"claimed"
185,"prev_strata",3,150,0.85,0.8,50000,20300185,"claimed"
186,"prev_strata",3,150,0.85,0.95,50000,20300186,"claimed"
187,"prev_strata",3,150,0.92,0.05,50000,20300187,"claimed"
188,"prev_strata",3,150,0.92,0.2,50000,20300188,"claimed"
189,"prev_strata",3,150,0.92,0.5,50000,20300189,"claimed"
190,"prev_strata",3,150,0.92,0.8,50000,20300190,"claimed"
191,"prev_strata",3,150,0.92,0.95,50000,20300191,"claimed"
192,"prev_strata",3,150,0.97,0.05,50000,20300192,"claimed"
193,"prev_strata",3,150,0.97,0.2,50000,20300193,"claimed"
194,"prev_strata",3,150,0.97,0.5,50000,20300194,"claimed"
195,"prev_strata",3,150,0.97,0.8,50000,20300195,"claimed"
196,"prev_strata",3,150,0.97,0.95,50000,20300196,"claimed"
197,"prev_strata",3,200,0.65,0.05,50000,20300197,"claimed"
198,"prev_strata",3,200,0.65,0.2,50000,20300198,"claimed"
199,"prev_strata",3,200,0.65,0.5,50000,20300199,"claimed"
200,"prev_strata",3,200,0.65,0.8,50000,20300200,"claimed"
201,"prev_strata",3,200,0.65,0.95,50000,20300201,"claimed"
202,"prev_strata",3,200,0.75,0.05,50000,20300202,"claimed"
203,"prev_strata",3,200,0.75,0.2,50000,20300203,"claimed"
204,"prev_strata",3,200,0.75,0.5,50000,20300204,"claimed"
205,"prev_strata",3,200,0.75,0.8,50000,20300205,"claimed"
206,"prev_strata",3,200,0.75,0.95,50000,20300206,"claimed"
207,"prev_strata",3,200,0.85,0.05,50000,20300207,"claimed"
208,"prev_strata",3,200,0.85,0.2,50000,20300208,"claimed"
209,"prev_strata",3,200,0.85,0.5,50000,20300209,"claimed"
210,"prev_strata",3,200,0.85,0.8,50000,20300210,"claimed"
211,"prev_strata",3,200,0.85,0.95,50000,20300211,"claimed"
212,"prev_strata",3,200,0.92,0.05,50000,20300212,"claimed"
213,"prev_strata",3,200,0.92,0.2,50000,20300213,"claimed"
214,"prev_strata",3,200,0.92,0.5,50000,20300214,"claimed"
215,"prev_strata",3,200,0.92,0.8,50000,20300215,"claimed"
216,"prev_strata",3,200,0.92,0.95,50000,20300216,"claimed"
217,"prev_strata",3,200,0.97,0.05,50000,20300217,"claimed"
218,"prev_strata",3,200,0.97,0.2,50000,20300218,"claimed"
219,"prev_strata",3,200,0.97,0.5,50000,20300219,"claimed"
220,"prev_strata",3,200,0.97,0.8,50000,20300220,"claimed"
221,"prev_strata",3,200,0.97,0.95,50000,20300221,"claimed"
222,"prev_strata",3,300,0.65,0.05,50000,20300222,"claimed"
223,"prev_strata",3,300,0.65,0.2,50000,20300223,"claimed"
224,"prev_strata",3,300,0.65,0.5,50000,20300224,"claimed"
225,"prev_strata",3,300,0.65,0.8,50000,20300225,"claimed"
226,"prev_strata",3,300,0.65,0.95,50000,20300226,"claimed"
227,"prev_strata",3,300,0.75,0.05,50000,20300227,"claimed"
228,"prev_strata",3,300,0.75,0.2,50000,20300228,"claimed"
229,"prev_strata",3,300,0.75,0.5,50000,20300229,"claimed"
230,"prev_strata",3,300,0.75,0.8,50000,20300230,"claimed"
231,"prev_strata",3,300,0.75,0.95,50000,20300231,"claimed"
232,"prev_strata",3,300,0.85,0.05,50000,20300232,"claimed"
233,"prev_strata",3,300,0.85,0.2,50000,20300233,"claimed"
234,"prev_strata",3,300,0.85,0.5,50000,20300234,"claimed"
235,"prev_strata",3,300,0.85,0.8,50000,20300235,"claimed"
236,"prev_strata",3,300,0.85,0.95,50000,20300236,"claimed"
237,"prev_strata",3,300,0.92,0.05,50000,20300237,"claimed"
238,"prev_strata",3,300,0.92,0.2,50000,20300238,"claimed"
239,"prev_strata",3,300,0.92,0.5,50000,20300239,"claimed"
240,"prev_strata",3,300,0.92,0.8,50000,20300240,"claimed"
241,"prev_strata",3,300,0.92,0.95,50000,20300241,"claimed"
242,"prev_strata",3,300,0.97,0.05,50000,20300242,"claimed"
243,"prev_strata",3,300,0.97,0.2,50000,20300243,"claimed"
244,"prev_strata",3,300,0.97,0.5,50000,20300244,"claimed"
245,"prev_strata",3,300,0.97,0.8,50000,20300245,"claimed"
246,"prev_strata",3,300,0.97,0.95,50000,20300246,"claimed"
247,"prev_strata",3,500,0.65,0.05,50000,20300247,"claimed"
248,"prev_strata",3,500,0.65,0.2,50000,20300248,"claimed"
249,"prev_strata",3,500,0.65,0.5,50000,20300249,"claimed"
250,"prev_strata",3,500,0.65,0.8,50000,20300250,"claimed"
251,"prev_strata",3,500,0.65,0.95,50000,20300251,"claimed"
252,"prev_strata",3,500,0.75,0.05,50000,20300252,"claimed"
253,"prev_strata",3,500,0.75,0.2,50000,20300253,"claimed"
254,"prev_strata",3,500,0.75,0.5,50000,20300254,"claimed"
255,"prev_strata",3,500,0.75,0.8,50000,20300255,"claimed"
256,"prev_strata",3,500,0.75,0.95,50000,20300256,"claimed"
257,"prev_strata",3,500,0.85,0.05,50000,20300257,"claimed"
258,"prev_strata",3,500,0.85,0.2,50000,20300258,"claimed"
259,"prev_strata",3,500,0.85,0.5,50000,20300259,"claimed"
260,"prev_strata",3,500,0.85,0.8,50000,20300260,"claimed"
261,"prev_strata",3,500,0.85,0.95,50000,20300261,"claimed"
262,"prev_strata",3,500,0.92,0.05,50000,20300262,"claimed"
263,"prev_strata",3,500,0.92,0.2,50000,20300263,"claimed"
264,"prev_strata",3,500,0.92,0.5,50000,20300264,"claimed"
265,"prev_strata",3,500,0.92,0.8,50000,20300265,"claimed"
266,"prev_strata",3,500,0.92,0.95,50000,20300266,"claimed"
267,"prev_strata",3,500,0.97,0.05,50000,20300267,"claimed"
268,"prev_strata",3,500,0.97,0.2,50000,20300268,"claimed"
269,"prev_strata",3,500,0.97,0.5,50000,20300269,"claimed"
270,"prev_strata",3,500,0.97,0.8,50000,20300270,"claimed"
271,"prev_strata",3,500,0.97,0.95,50000,20300271,"claimed"
272,"prev_strata",3,1000,0.65,0.05,50000,20300272,"claimed"
273,"prev_strata",3,1000,0.65,0.2,50000,20300273,"claimed"
274,"prev_strata",3,1000,0.65,0.5,50000,20300274,"claimed"
275,"prev_strata",3,1000,0.65,0.8,50000,20300275,"claimed"
276,"prev_strata",3,1000,0.65,0.95,50000,20300276,"claimed"
277,"prev_strata",3,1000,0.75,0.05,50000,20300277,"claimed"
278,"prev_strata",3,1000,0.75,0.2,50000,20300278,"claimed"
279,"prev_strata",3,1000,0.75,0.5,50000,20300279,"claimed"
280,"prev_strata",3,1000,0.75,0.8,50000,20300280,"claimed"
281,"prev_strata",3,1000,0.75,0.95,50000,20300281,"claimed"
282,"prev_strata",3,1000,0.85,0.05,50000,20300282,"claimed"
283,"prev_strata",3,1000,0.85,0.2,50000,20300283,"claimed"
284,"prev_strata",3,1000,0.85,0.5,50000,20300284,"claimed"
285,"prev_strata",3,1000,0.85,0.8,50000,20300285,"claimed"
286,"prev_strata",3,1000,0.85,0.95,50000,20300286,"claimed"
287,"prev_strata",3,1000,0.92,0.05,50000,20300287,"claimed"
288,"prev_strata",3,1000,0.92,0.2,50000,20300288,"claimed"
289,"prev_strata",3,1000,0.92,0.5,50000,20300289,"claimed"
290,"prev_strata",3,1000,0.92,0.8,50000,20300290,"claimed"
291,"prev_strata",3,1000,0.92,0.95,50000,20300291,"claimed"
292,"prev_strata",3,1000,0.97,0.05,50000,20300292,"claimed"
293,"prev_strata",3,1000,0.97,0.2,50000,20300293,"claimed"
294,"prev_strata",3,1000,0.97,0.5,50000,20300294,"claimed"
295,"prev_strata",3,1000,0.97,0.8,50000,20300295,"claimed"
296,"prev_strata",3,1000,0.97,0.95,50000,20300296,"claimed"
297,"prev_strata",5,15,0.65,0.05,50000,20300297,"claimed"
298,"prev_strata",5,15,0.65,0.2,50000,20300298,"claimed"
299,"prev_strata",5,15,0.65,0.5,50000,20300299,"claimed"
300,"prev_strata",5,15,0.65,0.8,50000,20300300,"claimed"
301,"prev_strata",5,15,0.65,0.95,50000,20300301,"claimed"
302,"prev_strata",5,15,0.75,0.05,50000,20300302,"claimed"
303,"prev_strata",5,15,0.75,0.2,50000,20300303,"claimed"
304,"prev_strata",5,15,0.75,0.5,50000,20300304,"claimed"
305,"prev_strata",5,15,0.75,0.8,50000,20300305,"claimed"
306,"prev_strata",5,15,0.75,0.95,50000,20300306,"claimed"
307,"prev_strata",5,15,0.85,0.05,50000,20300307,"claimed"
308,"prev_strata",5,15,0.85,0.2,50000,20300308,"claimed"
309,"prev_strata",5,15,0.85,0.5,50000,20300309,"claimed"
310,"prev_strata",5,15,0.85,0.8,50000,20300310,"claimed"
311,"prev_strata",5,15,0.85,0.95,50000,20300311,"claimed"
312,"prev_strata",5,15,0.92,0.05,50000,20300312,"claimed"
313,"prev_strata",5,15,0.92,0.2,50000,20300313,"claimed"
314,"prev_strata",5,15,0.92,0.5,50000,20300314,"claimed"
315,"prev_strata",5,15,0.92,0.8,50000,20300315,"claimed"
316,"prev_strata",5,15,0.92,0.95,50000,20300316,"claimed"
317,"prev_strata",5,15,0.97,0.05,50000,20300317,"claimed"
318,"prev_strata",5,15,0.97,0.2,50000,20300318,"claimed"
319,"prev_strata",5,15,0.97,0.5,50000,20300319,"claimed"
320,"prev_strata",5,15,0.97,0.8,50000,20300320,"claimed"
321,"prev_strata",5,15,0.97,0.95,50000,20300321,"claimed"
322,"prev_strata",5,20,0.65,0.05,50000,20300322,"claimed"
323,"prev_strata",5,20,0.65,0.2,50000,20300323,"claimed"
324,"prev_strata",5,20,0.65,0.5,50000,20300324,"claimed"
325,"prev_strata",5,20,0.65,0.8,50000,20300325,"claimed"
326,"prev_strata",5,20,0.65,0.95,50000,20300326,"claimed"
327,"prev_strata",5,20,0.75,0.05,50000,20300327,"claimed"
328,"prev_strata",5,20,0.75,0.2,50000,20300328,"claimed"
329,"prev_strata",5,20,0.75,0.5,50000,20300329,"claimed"
330,"prev_strata",5,20,0.75,0.8,50000,20300330,"claimed"
331,"prev_strata",5,20,0.75,0.95,50000,20300331,"claimed"
332,"prev_strata",5,20,0.85,0.05,50000,20300332,"claimed"
333,"prev_strata",5,20,0.85,0.2,50000,20300333,"claimed"
334,"prev_strata",5,20,0.85,0.5,50000,20300334,"claimed"
335,"prev_strata",5,20,0.85,0.8,50000,20300335,"claimed"
336,"prev_strata",5,20,0.85,0.95,50000,20300336,"claimed"
337,"prev_strata",5,20,0.92,0.05,50000,20300337,"claimed"
338,"prev_strata",5,20,0.92,0.2,50000,20300338,"claimed"
339,"prev_strata",5,20,0.92,0.5,50000,20300339,"claimed"
340,"prev_strata",5,20,0.92,0.8,50000,20300340,"claimed"
341,"prev_strata",5,20,0.92,0.95,50000,20300341,"claimed"
342,"prev_strata",5,20,0.97,0.05,50000,20300342,"claimed"
343,"prev_strata",5,20,0.97,0.2,50000,20300343,"claimed"
344,"prev_strata",5,20,0.97,0.5,50000,20300344,"claimed"
345,"prev_strata",5,20,0.97,0.8,50000,20300345,"claimed"
346,"prev_strata",5,20,0.97,0.95,50000,20300346,"claimed"
347,"prev_strata",5,30,0.65,0.05,50000,20300347,"claimed"
348,"prev_strata",5,30,0.65,0.2,50000,20300348,"claimed"
349,"prev_strata",5,30,0.65,0.5,50000,20300349,"claimed"
350,"prev_strata",5,30,0.65,0.8,50000,20300350,"claimed"
351,"prev_strata",5,30,0.65,0.95,50000,20300351,"claimed"
352,"prev_strata",5,30,0.75,0.05,50000,20300352,"claimed"
353,"prev_strata",5,30,0.75,0.2,50000,20300353,"claimed"
354,"prev_strata",5,30,0.75,0.5,50000,20300354,"claimed"
355,"prev_strata",5,30,0.75,0.8,50000,20300355,"claimed"
356,"prev_strata",5,30,0.75,0.95,50000,20300356,"claimed"
357,"prev_strata",5,30,0.85,0.05,50000,20300357,"claimed"
358,"prev_strata",5,30,0.85,0.2,50000,20300358,"claimed"
359,"prev_strata",5,30,0.85,0.5,50000,20300359,"claimed"
360,"prev_strata",5,30,0.85,0.8,50000,20300360,"claimed"
361,"prev_strata",5,30,0.85,0.95,50000,20300361,"claimed"
362,"prev_strata",5,30,0.92,0.05,50000,20300362,"claimed"
363,"prev_strata",5,30,0.92,0.2,50000,20300363,"claimed"
364,"prev_strata",5,30,0.92,0.5,50000,20300364,"claimed"
365,"prev_strata",5,30,0.92,0.8,50000,20300365,"claimed"
366,"prev_strata",5,30,0.92,0.95,50000,20300366,"claimed"
367,"prev_strata",5,30,0.97,0.05,50000,20300367,"claimed"
368,"prev_strata",5,30,0.97,0.2,50000,20300368,"claimed"
369,"prev_strata",5,30,0.97,0.5,50000,20300369,"claimed"
370,"prev_strata",5,30,0.97,0.8,50000,20300370,"claimed"
371,"prev_strata",5,30,0.97,0.95,50000,20300371,"claimed"
372,"prev_strata",5,50,0.65,0.05,50000,20300372,"claimed"
373,"prev_strata",5,50,0.65,0.2,50000,20300373,"claimed"
374,"prev_strata",5,50,0.65,0.5,50000,20300374,"claimed"
375,"prev_strata",5,50,0.65,0.8,50000,20300375,"claimed"
376,"prev_strata",5,50,0.65,0.95,50000,20300376,"claimed"
377,"prev_strata",5,50,0.75,0.05,50000,20300377,"claimed"
378,"prev_strata",5,50,0.75,0.2,50000,20300378,"claimed"
379,"prev_strata",5,50,0.75,0.5,50000,20300379,"claimed"
380,"prev_strata",5,50,0.75,0.8,50000,20300380,"claimed"
381,"prev_strata",5,50,0.75,0.95,50000,20300381,"claimed"
382,"prev_strata",5,50,0.85,0.05,50000,20300382,"claimed"
383,"prev_strata",5,50,0.85,0.2,50000,20300383,"claimed"
384,"prev_strata",5,50,0.85,0.5,50000,20300384,"claimed"
385,"prev_strata",5,50,0.85,0.8,50000,20300385,"claimed"
386,"prev_strata",5,50,0.85,0.95,50000,20300386,"claimed"
387,"prev_strata",5,50,0.92,0.05,50000,20300387,"claimed"
388,"prev_strata",5,50,0.92,0.2,50000,20300388,"claimed"
389,"prev_strata",5,50,0.92,0.5,50000,20300389,"claimed"
390,"prev_strata",5,50,0.92,0.8,50000,20300390,"claimed"
391,"prev_strata",5,50,0.92,0.95,50000,20300391,"claimed"
392,"prev_strata",5,50,0.97,0.05,50000,20300392,"claimed"
393,"prev_strata",5,50,0.97,0.2,50000,20300393,"claimed"
394,"prev_strata",5,50,0.97,0.5,50000,20300394,"claimed"
395,"prev_strata",5,50,0.97,0.8,50000,20300395,"claimed"
396,"prev_strata",5,50,0.97,0.95,50000,20300396,"open"
397,"prev_strata",5,75,0.65,0.05,50000,20300397,"open"
398,"prev_strata",5,75,0.65,0.2,50000,20300398,"open"
399,"prev_strata",5,75,0.65,0.5,50000,20300399,"open"
400,"prev_strata",5,75,0.65,0.8,50000,20300400,"open"
401,"prev_strata",5,75,0.65,0.95,50000,20300401,"open"
402,"prev_strata",5,75,0.75,0.05,50000,20300402,"open"
403,"prev_strata",5,75,0.75,0.2,50000,20300403,"open"
404,"prev_strata",5,75,0.75,0.5,50000,20300404,"open"
405,"prev_strata",5,75,0.75,0.8,50000,20300405,"open"
406,"prev_strata",5,75,0.75,0.95,50000,20300406,"open"
407,"prev_strata",5,75,0.85,0.05,50000,20300407,"open"
408,"prev_strata",5,75,0.85,0.2,50000,20300408,"open"
409,"prev_strata",5,75,0.85,0.5,50000,20300409,"open"
410,"prev_strata",5,75,0.85,0.8,50000,20300410,"open"
411,"prev_strata",5,75,0.85,0.95,50000,20300411,"open"
